Date,Peak Generation,Lowest Generation,Energy Recorded,Generation,Highest System Frequency ,Lowest System Frequency,Highest Voltage Recorded,Lowest Voltage Recorded,National Peak Demand Forecast,Installed Generation  Capacity,Generation Capacity,Transmission Wheeling Capacity,Peak Generation Ever Attained,Energy Ever Attained
13/03/2020,4023.1,3113.6,83706.23,3770,50.56,49.37,357,300,25790,12910.4,7652.6,8100,5375,111084.61
12/3/2020,3989.1,3325.3,88030.07,3584.8,50.63,49.34,356,300,25790,12910.4,7652.6,8100,5375,111084.61
27/03/2020,4379.1,3502.4,93968.26,3846.6,50.45,49.43,351,300,25790,12910.4,7652.6,8100,5375,111084.61
31/03/2020,4645.1,3830,100610.24,3727.5,50.7,49.61,349,300,25790,12910.4,7652.6,8100,5375,111084.61
14/03/2020,3916.3,3466.6,87960.08,3606,50.53,49.19,357,300,25790,12910.4,7652.6,8100,5375,111084.61
22/03/2020,4474.4,3777.1,96062.03,4073.7,50.83,49.69,351,300,25790,12910.4,7652.6,8100,5375,111084.61
18/03/2020,4636.9,3564.2,103274.4,3992.1,50.93,49.52,351,300,25790,12910.4,7652.6,8100,5375,111084.61
4/3/2020,4180.7,3009,83749.23,3775.4,50.56,49.69,356,300,25790,12910.4,7652.6,8100,5375,111084.61
1/4/2020,4431.9,3702,97980.93,3049.2,50.62,49.92,350,300,25790,12910.4,7652.6,8100,5375,111084.61
26/03/2020,4564.5,3035.7,91777.63,3657.6,50.58,49.15,356,300,25790,12910.4,7652.6,8100,5375,111084.61
15/03/2020,4093.5,3389.2,88935.54,4188.6,50.89,49.44,354,300,25790,12910.4,7652.6,8100,5375,111084.61
20/03/2020,4359.5,3456.7,94374.48,4073.7,50.62,49.43,352,300,25790,12910.4,7652.6,8100,5375,111084.61
1/3/2020,4994.5,3770.3,100969.22,4114.1,50.49,49.49,352,300,25790,12910.4,7652.6,8100,5375,111084.61
25/03/2020,4542.4,2323.8,78875.69,3340.5,50.36,49.45,361,300,25790,12910.4,7652.6,8100,5375,111084.61
10/3/2020,4029.8,3484.8,90072.88,3832.9,50.6,49.58,354,300,25790,12910.4,7652.6,8100,5375,111084.61
16/03/2020,4661.3,3834,98743.1,4380.1,50.61,49.4,352,300,25790,12910.4,7652.6,8100,5375,111084.61
5/3/2020,3942,3529.4,86667.27,3938.1,50.63,49.65,353,300,25790,12910.4,7652.6,8100,5375,111084.61
7/3/2020,4055.6,3236.5,91678.58,3675.1,50.6,49.59,348,300,25790,12910.4,7652.6,8100,5375,111084.61
28/02/2020,5079.2,4146,109436.48,3291.8,50.6,49.99,352,300,25790,12910.4,7652.6,8100,5375,111084.61
11/3/2020,3915.1,3639.3,89697.98,3837.2,50.63,49.05,355,300,25790,12910.4,7652.6,8100,5375,111084.61
3/3/2020,3995.3,3377.6,87384.93,3391.9,50.65,49.12,359,290,25790,12910.4,7652.6,8100,5375,111084.61
8/3/2020,3922.6,3410,87085.1,3660.7,50.54,49.56,347,300,25790,12910.4,7652.6,8100,5375,111084.61
30/03/2020,4175.7,3758.6,94068.61,3976.9,50.55,49.78,345,300,25790,12910.4,7652.6,8100,5375,111084.61
23/03/2020,4421.6,3731.1,97457.44,3984.3,50.57,49.51,353,300,25790,12910.4,7652.6,8100,5375,111084.61
21/03/2020,4350.8,3622.6,97483.74,3942.4,50.56,49.63,354,300,25790,12910.4,7652.6,8100,5375,111084.61
28/03/2020,4059.5,3632.1,92237.11,3791.4,50.52,49.55,346,280,25790,12910.4,7652.6,8100,5375,111084.61
19/03/2020,4640.5,3634.7,97968.28,3880.6,50.68,49.55,346,300,25790,12910.4,7652.6,8100,5375,111084.61
9/3/2020,3790.8,3384.7,85739.53,3611,50.64,49.43,353,300,25790,12910.4,7652.6,8100,5375,111084.61
29/02/2020,5045.5,3171.1,94685.69,3837.4,50.95,49.54,359,295,25790,12910.4,7652.6,8100,5375,111084.61
6/3/2020,4129.7,3668.7,92921.54,3872.9,50.49,49.62,352,300,25790,12910.4,7652.6,8100,5375,111084.61
17/03/2020,4803.8,3809.8,102950.45,4457.2,50.59,49.55,352,300,25790,12910.4,7652.6,8100,5375,111084.61
24/03/2020,4265.3,3506.5,94164.08,2407.1,50.59,49.65,359,300,25790,12910.4,7652.6,8100,5375,111084.61
2/3/2020,4432,3670.7,94600.05,3526.1,50.52,49.37,354,300,25790,12910.4,7652.6,8100,5375,111084.61
